descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico
1930 miembros delogio universidad tulane luisiana posan donde montaron campamento realizar trabajos investigacion produjo dibujos fotografias moldes exposicion siglo progreso 1933 chicago puede distinguir bandera universidad colocada estructuras acompanan guia pablo pantoja segundo izquierda derecha editada restaurada mejor presente,post,1,NEU,NEUTRAL,-1
1893 uno dos esplendidos pasajes abovedados arcos triangulares palacio gobernador estos unian tres estructorares principales fechas posteros construccion construcciones columna cada lado paso tiempo sus paredes exteriores fueron colapsando quedando sus frentes descubiertos visitado dibujado frederick catherwood 1841 pasaje inchialmente encontraba casi cerrado antigua tomada explorador teobert maler 1893 trabajo edicionis realizado,post,1,NEU,NEUTRAL,-1
rally 2022 bienvenidos z poesia hecha piedra,post,1,NEU,NEUTRAL,-1
cuadrangulo monjas apoximadamete 1940,post,4,NEU,NEUTRAL,-1
1896 libro cava cuevas heny c mercer obuvimos singular imagen trata vista cuadrangulo monjas piramide adivino observamos edificio aun rescatado ruinas muy distinto pude actualidad acuerdo imagen real mismo enjunto misma posicion tomado banco dato inah,post,1,NEU,NEUTRAL,-1
alrededor 1920 elegantes visitantes posan junto hermoso arco servia acceso director cuadrangulo monjas real lugar comentarios trabajo edicionis realizado,post,1,POS,NEUTRAL,-1
osa mayor hemisferio norte,post,6,NEU,NEUTRAL,-1
1891 1893 asi lucia palacio gobernador hace 120 anos visitado fotogramado explorador italo austro alemantebert maler pionero conservacion patrimonio arqueolongico zonas arqueologicas comentarios original real original blanco negro editada restaurada coloreada digital mente mejor presente,post,1,NEU,NEUTRAL,-1
periodico 1841 publico episodio john lloyd stephens frenderick catherwood visitaron y exploraron ante dueno esas ruinas piedras mayas senor simon peon le quiso poner degradar monumentos exhibieran ee uu idea bonita lo interesante stephens dio esa respesta hoy decimos patri moni ono seven ra ice shab lan lo dejo aqui testimonio nuestras ciudades pueblos originarios tienen precio mexico,post,1,NEU,NEUTRAL,-1
1952 turista tomando descanso tipica hamaca yucateca pastel piramide adivino instituto getty earl leaf editada mejor presente,post,0,NEU,NEUTRAL,-1
reina isabel ii inglaterra esposo principe felipe edimburgo hicieron recorrido 27 febrero 1975 historica monarquia abarco diferentes mexico edicion,post,1,NEU,NEUTRAL,-1
reina isabel ii inglaterra realizo historica 27 febrero 1975 pasado 6 febrero cumplio 70 anos reinado edicion,post,1,NEU,NEUTRAL,-1
1987 mi primera tomas williams,post,1,NEU,NEUTRAL,-1
mundo colecion fotos ucrania,post,1,NEU,NEUTRAL,-1
uno importantes yacimientos arqueologicos cultura localizado municipio marco saenz edicion,post,1,POS,NEUTRAL,-1
poesia hecha piedra https instagram com simonnorfolkstudio utm medium copy link,post,1,NEU,NEUTRAL,-1
general alvaro obregon 1920 fotografo famoso merida origen espanol tomo candidato presidencia mexico paso lo publico a pero esas fechas esos dias campana martin enrique,post,1,NEU,NEUTRAL,-1
portal mistico entrada ru tapu uc conocida tres veces construida declarada patrimonio cultural humanidad unesco 1996 visitala https bit ly 3glleam,post,1,NEU,NEUTRAL,-1
llamada reina pilaza elaborada entre 600 900 d c mencionada poshibe retrato gobernante sacerdota concarificaciones forma espirarl rostro emerge fauces serpiente estilizada via espejo humeante,post,1,NEU,NEUTRAL,-1
prensa adivino jd bertoni,post,1,NEU,NEUTRAL,-1
personas afortunadas escalando piramide adivino creditos quien correspondiente,post,1,NEU,NEUTRAL,-1
bellos momentos,post,5,NEU,NEUTRAL,-1
conoce vuelos panoramicos aire,post,1,NEU,NEUTRAL,-1
atencion martes 9 noviembre abre publico ecos lunes domingo habra tres presentaciones dia 19 30 horas 20 15 horas 21 horas partir lunes 8 interesados podran adquirir sus boletos pagina culturyucatan com donde hallaran informacion enjues respetivos entradas tambien vendran taquillas parador turisstico,post,1,NEU,NEUTRAL,-1
palacio gobernador mexico tomada 1882 explorador frances desire charnay,post,1,NEU,NEUTRAL,-1
precursores pioneros turismo hector arana cabrera luis arana bustillos descanse paz sin lugar dudas ha destacado ser sitio turisstico interes tanto debido cercania ruta puuc primeros guias trajeron innumerables conocedores culta lo fueron hector arana cabrera nacido mune yeguuale iguales luos hectores casa encuentra contraesquina parque fueron ellos exploradores llevaron primeros arqueologos buscar ciudades mayas perdidas sur quintana roo campeche atestiguan numerosas cartas agradecimento suscritas arqueologos famosos luis conserva recuerdo pasadas felices aventuras pero esos antiguos guias exploradores solo hacian choferes ellos mismos preparaban campamentos cocinaban hacian mecanicos necesitaba porque esas expediciones donde habia poblacia alguna necesitaban llevar refaccions bandas bujias medicinas tabaco ron noches si tambien hacer noche mientras turistas dormia campamentos custodios sitios arqueologicos campamentos madereros chicleros eran lugares ideales pernoctar seguridad establecimientos precian era muy importante mantener amistades lo largo rutas estos amigos custodios capataces campamentos lo siempre llevaba pequenos regalos tanto aprecianos estas lejanas partes carne region puuc sitios intervenidos inah todos tienen chultunes y o akalches probador agua vigilantes vigilantes sitios alejados tienen sus descansos vez cada dos semanas remeso llevan cargando mercancias van consumir durante e tiempo naturalmento hector encontraba camino lo menos hacia elloal erlos erlelo carga si habia algun lugar disponible lllevaba esposa ninos hasta destino medio nada,post,1,POS,NEUTRAL,-1
asi lucia primera vez redescubrieron expedicionica entre 1858 1860 claude joseph desire charnay,post,1,NEU,NEUTRAL,-1
ya sea piedra jade arcilla dejate maravillar artesanias ceibos tienen recreacion taller descubre talento familia artesanos cada sus piezas queda teen 365 dia as informacion https travel experiencia 121 artista vasijas prehispanicas,post,1,NEU,NEUTRAL,-1
muy pronto nuevo eppectaculo luz sonido espera ecos,post,1,NEU,NEUTRAL,-1
arte ceibos tu paso tenderras oportunidad poder compromenta reproducciones prehispanicas encuentralos calle 13 x 26 28 cp 97840,post,1,NEU,OPORTUNIDAD,-1
vuelve abrir sus puertas hoy 22 marzo 8 00 a m hasta 4 00 pm venta boletos ultimo acceso cierra 5 00 pm,post,1,NEU,NEUTRAL,-1
1946,post,7,NEU,NEUTRAL,-1
1950,post,7,NEU,NEUTRAL,-1
sigue explorando sus pueblos vecinos santa elena recuerda somos grupo locales te queremos ayuda planificar mejor tu viaje nuestras tierras mayas escribenos te brindamos asesoria recomendacaciones totales valor travel visit vi st,post,9,NEU,NEUTRAL,-1
si visitas regueso puedes pasar visitar encuentra camino pluedes adquirir diversos productos servicios snacks super mercado hasta frutas verduras frescas mercado local servicios hospedaje tours gras vista vierduras mercado cerro alto si vijas merida encuentras autobus llegar linea sur usted puede tomar otro autobus nombre mayab pedira desender poblado centro tomar taxy timelapse podras observar camino 16 km 30 segundos,post,1,NEU,NEUTRAL,-1
1939,post,7,NEU,NEUTRAL,-1
somos tus guias lugares sur enviicos dm preguntanos estamos ayudarte tu siguient viaje,post,9,NEU,NEUTRAL,-1
informacion importante sobre reapertura reapertura realizara entre 14 20 septiembre ya tener fecha establecida dara conocer medio realizara lunes domingo 8 17 h sido utimo acceso 16 00 h unicampe podra operar 30 capacidad carga lo alcanzar capacidad permitida restringira acceso recorrido delimitado podra acceder todas estructuras abitas anterior publico durante recorrido unico podran visitar templo adivino cuadrangulo monjas juego pelota tortugas cuadruguulo monjas juego pelota casa ysotu palacio gobernador dispondra tiempo maximo 2 horas realizarlo uso cubrebocas obligatorio permitira acceso sin uso correcto mismo cubrebocas utilizara durante todo recorrido permitirirle aceso personas aprueben filtro sanitario toma temperatura unicime frente lo tampoco podra ingresar negativo todas medidas son parte estrategia prevenir contagios sars cov2 durante lo importante guuir indicaciones personal disfrutemos patrimonio cultural cuidemos nuestra salud,post,1,POS,NEUTRAL,-1
travel grid 2020,post,3,NEU,NEUTRAL,-1
travel grid 2020,post,3,NEU,NEUTRAL,-1
travel grid 2020,post,3,NEU,NEUTRAL,-1
entra feed completa,post,2,NEU,NEUTRAL,-1
entra feed completa,post,2,NEU,NEUTRAL,-1
entra feed completa,post,2,NEU,NEUTRAL,-1
entra feed completa,post,2,NEU,NEUTRAL,-1
entra feed completa,post,2,NEU,NEUTRAL,-1
entra feed completa,post,2,NEU,NEUTRAL,-1
ya planeaste tu despues contingencia saniteria te invitamos nos visitas z a bastante amplia tiene espacio suficiente atender personas respetiva sana distancia cuidate cuidamos les esperamos pronto ciudad tres veces construida vi st visit,post,1,NEU,NEUTRAL,-1
hacia sureste cementerio surote gobernador puede simbolica cresteria palomar corresponda periodo puuc tardio unica tipo precisamete forma recuerda termino puuc construccion debio ser realidad conjunto residencia incluido templo cuyo techo ha hundido extremo poniente conjunto u8na alta piramide santuario cuspide lado sur corre cresteria semiderruida agujeros constituida nueve secciones triangulares calado nichos bordes escalonados explorador stephens bautizo fasa palomos hilera unas 40 ventanas techo ha desplomado deja ariba paredes varias habitaciones enfiladas semejantes celdas ru tapu uc ruins visit visit,post,1,NEU,NEUTRAL,-1
alguna vez pasaste aqui,post,9,NEU,NEUTRAL,-1
guau recordar volver vivir te gustaria justo nos encontramos parte superior plataforma palacio gobernador justo ahora encuentra prociso restauracio ya conoces nueva pasadizo enred may a palacio gobernador visit,post,1,NEU,NEUTRAL,-1
te parece pasar tarde tu familia pareja dentro hermosa ciuda cuentanos si tienes planado visitarnos despues contingencia,post,1,NEU,RESPONSABILIDAD,-1
si equivoco esquina antigua carr merida campeche concurridas paradero autobuses hoy observa vacio esperemos pronto volver verlo lleno viajeros 2020 visit,post,1,NEU,NEUTRAL,-1
paso tiempo vieja mando enano casa gobernador defensor competencia pesar temor envio hijo insistencia madre tal tuvo remedio te voy retar tres pruebas le dijo gobernante primera construye camino blanco largo recto enano rugreson corriendo casa llorando pidiendo ayuda madrejo verresa pide gobernor ponga priza piedra veraran verara camino verara yerl pasa asi lo hizo gobernador puso pesada piedra mucho esfuerzo otro tanto hizo enano llego turno asistido poderes magicos vieja enano pudo sacbe facilmento conectando ciudad ciudad kabah gobernador furioso enano le dio segundo reto noche debes levantar casa alta ninguna otra lugar si terminada amanece moriras enano regreso nueva dia siguiente enano desperto acostado sobre piramide grande lugar bella alta estructura gobernador aun furioso hizo llamar enano darle tercer reto tres cocoyoles le ordeno gobernador nos golpearemos esas duras semillas hasta uno nosotros triunfe le froto tortillita maiz sobre cabeza regreso enano gobernador empezaron golpearse gobernador rompio tres cocoyoles contra cabeza enano sin hacerle dano y temeroso penso arrepeentirse pero pudo ya quer pudo veces hurto enano mucha fuerza enano rompio uno dos cocoyoles contra cabeza gobernador tercero final final todos lo declararon vencedor enano convirtio gobernante lugar visit travel,post,1,NEU,NEUTRAL,-1
tres veces construida pertenece grupo zonas aqueologicas llamada ruta puuc esto pore secuentran localizadas sobre cerros despues contingencia probable habablico inicios mes compartido actualizaciones reapertura post covid 19,post,1,NEU,NEUTRAL,-1
