descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico,prompt_procesado_es
1930 miembros delogio universidad tulane luisiana posan donde montaron campamento realizar trabajos investigacion produjo dibujos fotografias moldes exposicion siglo progreso 1933 chicago puede distinguir bandera universidad colocada estructuras acompanan guia pablo pantoja segundo izquierda derecha editada restaurada mejor presente,post,1,NEU,NEUTRAL,-1,
1893 uno dos esplendidos pasajes abovedados arcos triangulares palacio gobernador estos unian tres estructorares principales fechas posteros construccion construcciones columna cada lado paso tiempo sus paredes exteriores fueron colapsando quedando sus frentes descubiertos visitado dibujado frederick catherwood 1841 pasaje inchialmente encontraba casi cerrado antigua tomada explorador teobert maler 1893 trabajo edicionis realizado,post,1,NEU,NEUTRAL,-1,
rally 2022 bienvenidos z poesia hecha piedra,post,1,NEU,NEUTRAL,-1,
cuadrangulo monjas apoximadamete 1940,post,4,NEU,NEUTRAL,-1,
1896 libro cava cuevas heny c mercer obuvimos singular imagen trata vista cuadrangulo monjas piramide adivino observamos edificio aun rescatado ruinas muy distinto pude actualidad acuerdo imagen real mismo enjunto misma posicion tomado banco dato inah,post,1,NEU,NEUTRAL,-1,
alrededor 1920 elegantes visitantes posan junto hermoso arco servia acceso director cuadrangulo monjas real lugar comentarios trabajo edicionis realizado,post,1,POS,NEUTRAL,-1,
osa mayor hemisferio norte,post,6,NEU,NEUTRAL,-1,
1891 1893 asi lucia palacio gobernador hace 120 anos visitado fotogramado explorador italo austro alemantebert maler pionero conservacion patrimonio arqueolongico zonas arqueologicas comentarios original real original blanco negro editada restaurada coloreada digital mente mejor presente,post,1,NEU,NEUTRAL,-1,
periodico 1841 publico episodio john lloyd stephens frenderick catherwood visitaron y exploraron ante dueno esas ruinas piedras mayas senor simon peon le quiso poner degradar monumentos exhibieran ee uu idea bonita lo interesante stephens dio esa respesta hoy decimos patri moni ono seven ra ice shab lan lo dejo aqui testimonio nuestras ciudades pueblos originarios tienen precio mexico,post,1,NEU,NEUTRAL,-1,
1952 turista tomando descanso tipica hamaca yucateca pastel piramide adivino instituto getty earl leaf editada mejor presente,post,0,NEU,NEUTRAL,-1,
reina isabel ii inglaterra esposo principe felipe edimburgo hicieron recorrido 27 febrero 1975 historica monarquia abarco diferentes mexico edicion,post,1,NEU,NEUTRAL,-1,
reina isabel ii inglaterra realizo historica 27 febrero 1975 pasado 6 febrero cumplio 70 anos reinado edicion,post,1,NEU,NEUTRAL,-1,
1987 mi primera tomas williams,post,1,NEU,NEUTRAL,-1,
mundo colecion fotos ucrania,post,1,NEU,NEUTRAL,-1,
uno importantes yacimientos arqueologicos cultura localizado municipio marco saenz edicion,post,1,POS,NEUTRAL,-1,
poesia hecha piedra https instagram com simonnorfolkstudio utm medium copy link,post,1,NEU,NEUTRAL,-1,
general alvaro obregon 1920 fotografo famoso merida origen espanol tomo candidato presidencia mexico paso lo publico a pero esas fechas esos dias campana martin enrique,post,1,NEU,NEUTRAL,-1,
portal mistico entrada ru tapu uc conocida tres veces construida declarada patrimonio cultural humanidad unesco 1996 visitala https bit ly 3glleam,post,1,NEU,NEUTRAL,-1,
llamada reina pilaza elaborada entre 600 900 d c mencionada poshibe retrato gobernante sacerdota concarificaciones forma espirarl rostro emerge fauces serpiente estilizada via espejo humeante,post,1,NEU,NEUTRAL,-1,
prensa adivino jd bertoni,post,1,NEU,NEUTRAL,-1,
personas afortunadas escalando piramide adivino creditos quien correspondiente,post,1,NEU,NEUTRAL,-1,
bellos momentos,post,5,NEU,NEUTRAL,-1,
conoce vuelos panoramicos aire,post,1,NEU,NEUTRAL,-1,
atencion martes 9 noviembre abre publico ecos lunes domingo habra tres presentaciones dia 19 30 horas 20 15 horas 21 horas partir lunes 8 interesados podran adquirir sus boletos pagina culturyucatan com donde hallaran informacion enjues respetivos entradas tambien vendran taquillas parador turisstico,post,1,NEU,NEUTRAL,-1,
palacio gobernador mexico tomada 1882 explorador frances desire charnay,post,1,NEU,NEUTRAL,-1,
precursores pioneros turismo hector arana cabrera luis arana bustillos descanse paz sin lugar dudas ha destacado ser sitio turisstico interes tanto debido cercania ruta puuc primeros guias trajeron innumerables conocedores culta lo fueron hector arana cabrera nacido mune yeguuale iguales luos hectores casa encuentra contraesquina parque fueron ellos exploradores llevaron primeros arqueologos buscar ciudades mayas perdidas sur quintana roo campeche atestiguan numerosas cartas agradecimento suscritas arqueologos famosos luis conserva recuerdo pasadas felices aventuras pero esos antiguos guias exploradores solo hacian choferes ellos mismos preparaban campamentos cocinaban hacian mecanicos necesitaba porque esas expediciones donde habia poblacia alguna necesitaban llevar refaccions bandas bujias medicinas tabaco ron noches si tambien hacer noche mientras turistas dormia campamentos custodios sitios arqueologicos campamentos madereros chicleros eran lugares ideales pernoctar seguridad establecimientos precian era muy importante mantener amistades lo largo rutas estos amigos custodios capataces campamentos lo siempre llevaba pequenos regalos tanto aprecianos estas lejanas partes carne region puuc sitios intervenidos inah todos tienen chultunes y o akalches probador agua vigilantes vigilantes sitios alejados tienen sus descansos vez cada dos semanas remeso llevan cargando mercancias van consumir durante e tiempo naturalmento hector encontraba camino lo menos hacia elloal erlos erlelo carga si habia algun lugar disponible lllevaba esposa ninos hasta destino medio nada,post,1,POS,NEUTRAL,-1,
asi lucia primera vez redescubrieron expedicionica entre 1858 1860 claude joseph desire charnay,post,1,NEU,NEUTRAL,-1,
ya sea piedra jade arcilla dejate maravillar artesanias ceibos tienen recreacion taller descubre talento familia artesanos cada sus piezas queda teen 365 dia as informacion https travel experiencia 121 artista vasijas prehispanicas,post,1,NEU,NEUTRAL,-1,
muy pronto nuevo eppectaculo luz sonido espera ecos,post,1,NEU,NEUTRAL,-1,
arte ceibos tu paso tenderras oportunidad poder compromenta reproducciones prehispanicas encuentralos calle 13 x 26 28 cp 97840,post,1,NEU,OPORTUNIDAD,-1,
vuelve abrir sus puertas hoy 22 marzo 8 00 a m hasta 4 00 pm venta boletos ultimo acceso cierra 5 00 pm,post,1,NEU,NEUTRAL,-1,
1946,post,7,NEU,NEUTRAL,-1,
1950,post,7,NEU,NEUTRAL,-1,
sigue explorando sus pueblos vecinos santa elena recuerda somos grupo locales te queremos ayuda planificar mejor tu viaje nuestras tierras mayas escribenos te brindamos asesoria recomendacaciones totales valor travel visit vi st,post,9,NEU,NEUTRAL,-1,
si visitas regueso puedes pasar visitar encuentra camino pluedes adquirir diversos productos servicios snacks super mercado hasta frutas verduras frescas mercado local servicios hospedaje tours gras vista vierduras mercado cerro alto si vijas merida encuentras autobus llegar linea sur usted puede tomar otro autobus nombre mayab pedira desender poblado centro tomar taxy timelapse podras observar camino 16 km 30 segundos,post,1,NEU,NEUTRAL,-1,
1939,post,7,NEU,NEUTRAL,-1,
somos tus guias lugares sur enviicos dm preguntanos estamos ayudarte tu siguient viaje,post,9,NEU,NEUTRAL,-1,
informacion importante sobre reapertura reapertura realizara entre 14 20 septiembre ya tener fecha establecida dara conocer medio realizara lunes domingo 8 17 h sido utimo acceso 16 00 h unicampe podra operar 30 capacidad carga lo alcanzar capacidad permitida restringira acceso recorrido delimitado podra acceder todas estructuras abitas anterior publico durante recorrido unico podran visitar templo adivino cuadrangulo monjas juego pelota tortugas cuadruguulo monjas juego pelota casa ysotu palacio gobernador dispondra tiempo maximo 2 horas realizarlo uso cubrebocas obligatorio permitira acceso sin uso correcto mismo cubrebocas utilizara durante todo recorrido permitirirle aceso personas aprueben filtro sanitario toma temperatura unicime frente lo tampoco podra ingresar negativo todas medidas son parte estrategia prevenir contagios sars cov2 durante lo importante guuir indicaciones personal disfrutemos patrimonio cultural cuidemos nuestra salud,post,1,POS,NEUTRAL,-1,
travel grid 2020,post,3,NEU,NEUTRAL,-1,
travel grid 2020,post,3,NEU,NEUTRAL,-1,
travel grid 2020,post,3,NEU,NEUTRAL,-1,
entra feed completa,post,2,NEU,NEUTRAL,-1,
entra feed completa,post,2,NEU,NEUTRAL,-1,
entra feed completa,post,2,NEU,NEUTRAL,-1,
entra feed completa,post,2,NEU,NEUTRAL,-1,
entra feed completa,post,2,NEU,NEUTRAL,-1,
entra feed completa,post,2,NEU,NEUTRAL,-1,
ya planeaste tu despues contingencia saniteria te invitamos nos visitas z a bastante amplia tiene espacio suficiente atender personas respetiva sana distancia cuidate cuidamos les esperamos pronto ciudad tres veces construida vi st visit,post,1,NEU,NEUTRAL,-1,
hacia sureste cementerio surote gobernador puede simbolica cresteria palomar corresponda periodo puuc tardio unica tipo precisamete forma recuerda termino puuc construccion debio ser realidad conjunto residencia incluido templo cuyo techo ha hundido extremo poniente conjunto u8na alta piramide santuario cuspide lado sur corre cresteria semiderruida agujeros constituida nueve secciones triangulares calado nichos bordes escalonados explorador stephens bautizo fasa palomos hilera unas 40 ventanas techo ha desplomado deja ariba paredes varias habitaciones enfiladas semejantes celdas ru tapu uc ruins visit visit,post,1,NEU,NEUTRAL,-1,
alguna vez pasaste aqui,post,9,NEU,NEUTRAL,-1,
guau recordar volver vivir te gustaria justo nos encontramos parte superior plataforma palacio gobernador justo ahora encuentra prociso restauracio ya conoces nueva pasadizo enred may a palacio gobernador visit,post,1,NEU,NEUTRAL,-1,
te parece pasar tarde tu familia pareja dentro hermosa ciuda cuentanos si tienes planado visitarnos despues contingencia,post,1,NEU,RESPONSABILIDAD,-1,
si equivoco esquina antigua carr merida campeche concurridas paradero autobuses hoy observa vacio esperemos pronto volver verlo lleno viajeros 2020 visit,post,1,NEU,NEUTRAL,-1,
paso tiempo vieja mando enano casa gobernador defensor competencia pesar temor envio hijo insistencia madre tal tuvo remedio te voy retar tres pruebas le dijo gobernante primera construye camino blanco largo recto enano rugreson corriendo casa llorando pidiendo ayuda madrejo verresa pide gobernor ponga priza piedra veraran verara camino verara yerl pasa asi lo hizo gobernador puso pesada piedra mucho esfuerzo otro tanto hizo enano llego turno asistido poderes magicos vieja enano pudo sacbe facilmento conectando ciudad ciudad kabah gobernador furioso enano le dio segundo reto noche debes levantar casa alta ninguna otra lugar si terminada amanece moriras enano regreso nueva dia siguiente enano desperto acostado sobre piramide grande lugar bella alta estructura gobernador aun furioso hizo llamar enano darle tercer reto tres cocoyoles le ordeno gobernador nos golpearemos esas duras semillas hasta uno nosotros triunfe le froto tortillita maiz sobre cabeza regreso enano gobernador empezaron golpearse gobernador rompio tres cocoyoles contra cabeza enano sin hacerle dano y temeroso penso arrepeentirse pero pudo ya quer pudo veces hurto enano mucha fuerza enano rompio uno dos cocoyoles contra cabeza gobernador tercero final final todos lo declararon vencedor enano convirtio gobernante lugar visit travel,post,1,NEU,NEUTRAL,-1,
tres veces construida pertenece grupo zonas aqueologicas llamada ruta puuc esto pore secuentran localizadas sobre cerros despues contingencia probable habablico inicios mes compartido actualizaciones reapertura post covid 19,post,1,NEU,NEUTRAL,-1,
,descripcion,9,POS,NEUTRAL,-1,chichena blanca ante cascadas ella descubrimiento arqueologico temperaturas grandes temperaturas cascadas ella descubrimiento arqueologico temperaturas grandes temperaturas cascadas ella descubrimiento arqueologico grandes temperaturas cascadas su
,descripcion,4,NEU,NEUTRAL,-1,ham yutja ancient pyramid victo nga realista remedios varo uranga viajes ad sergio larra lost world pyramid real vintage photo ancient pyramid
,descripcion,1,NEU,NEUTRAL,-1,tomado camara kodak 1960 camara kodak anos 70 captura pantalla encontradas pelicula color todavia levitando ciudadela metraje vhs todavia captura pantalla pelicula 1983 mm todavia video musical
,descripcion,3,NEU,NEUTRAL,-1,grupo personas se encuentran alrededor motocicleta moto centro marco catalogo subastas 1930 catalogo museos ebay filipinas anos 70 motocicletas archivo museo 1948 sin casco 1961a 1947 4
,descripcion,2,NEU,NEUTRAL,-1,camino tierra tribe huts jungle mud brick houses 1970s 1970s s c1976 pozas colombia aj os 60 1970s filipinas
,descripcion,2,POS,NEUTRAL,-1,proyeccion proyectada instalacion diseno proyeccion coloridas proyecciones detalladas mapeo proyeccion proyecciones coloridas paredes grandes movimiento paredes digitales pantallas digitales paredes muralismo mexicano ravi supa oscuridad paredes pantallas led freddy mamani silvestre fackeund fondever
,descripcion,2,POS,NEUTRAL,-1,automovil esta estacionado frente arco grande imet2020 competencia racial disparo cinematografico angular sol brilla automovil autos personas ducha meteoritos persecucion metraje rally dakar armenia quindio renault ultimo mexico vista completa automovil carrera carrera
,descripcion,2,POS,NEUTRAL,-1,tupi angkor wat angkor thon angkor grandes indonesia antiguo run mayano ruisas antiguo misterioso sagrada blanca antiguo blanca
,descripcion,2,POS,NEUTRAL,-1,ang cubierto musgo enormes alien
,descripcion,6,POS,NEUTRAL,-1,avion vuela cielo vibrante cielo azul claro cielo azul limpio cielo azul puro cielo azul claro cielo azul azul solido cielo azul cielo transparente claro cielo verano cielo azul claro cielo azul tonos azules azul hd cielos azules cielo azul claro
,descripcion,4,POS,NEUTRAL,-1,ruidosos cubiertos musgo grandes vistas epicas viejos mayores cubiertas color ruina enormes vistas epicas viejas mayores cubiertas ruidos abundantes vistas epicas mayores jungle jungle abastecidos jungle selva viejos selva paisaje
,descripcion,2,NEU,NEUTRAL,-1,elefante se encuentra medio exuberante follaje elfo arboles verdes arboles colinas cubiertas hierba flora verde deforestado denso vegetacion boscoso vegetacion exuberante denso vegetacion densa vegetacion exuberante centro bosques verdes bosques
,descripcion,4,NEU,NEUTRAL,-1,building lot grass top matte painting finish aqueducts high quality matte painting unreal engine panoramic photography 3d rendered matte painting abandoned ruins landscape attack titan scenery photorealistic matte painting cgsociety flat matte painting auschwitz camp highly detailed matte painting organic matte pintura mate
,descripcion,9,NEU,NEUTRAL,-1,pila escombros al lado plas terrazas escalonadas 1970 brutalista terrazas piramida mundial perdida c1970
,descripcion,2,NEU,NEUTRAL,-1,colina tikal iv rodeada vegetacion al sol zigurat portal piramid
,descripcion,9,NEU,NEUTRAL,-1,gente brutalista arqueologica mamposteria desmoronada anatsui realista construccion construccion pozas remedios varo uranga sumergido pre cran
,descripcion,4,NEG,NEUTRAL,-1,automovil rojo conduce calle medio motion bokeh tray shot blowe motion desenfoque movimiento pesado desenfoque movimiento suave desenfoque velocidad desenfoque movimiento masivo desenfoque movimiento 1958 ferrari 250 gt autofoco pantalon artefacto jpeg pesado bokeh anamorfico carpas lensas carpas lentes para lentes
,descripcion,3,NEU,NEUTRAL,-1,dos hombres estan trabajando horno ladrillo wolf vostell chimenea irori ladrillos polvo mamposteria desmoronada 1987 chimenea tradicional anos ochenta recubrimiento nucleo obstinado
,descripcion,1,NEU,NEUTRAL,-1,periodico mujer vestido jacqueline e revista life tlaquepqueque magazine vida mary jackson ella escaneos coleccion museos revista presentada revista life camara kodak anos 60
,descripcion,2,NEU,NEUTRAL,-1,techo techo paja desayuno poxas tribe huts jungle health spa meditation center puertas varias viviendas techo paja puertas estudios akitipe estudio gibi ecovillage estudios weta escenario cubano decoracion voodo espiritu ayahuasca archways entre stalagtites
,descripcion,2,NEU,NEUTRAL,-1,vista aerea casa medio rodeada vegetacion mundo perdido alienigena catedral masiva grito tumba verdad es vision verdad blanca vision vision junta vision blanca verdad es vision vision blanca
,descripcion,9,POS,NEUTRAL,-1,grande muchas ventanas muchas escombros brutalista arqueologicamente artistico quetzecoatl aztec humanas destruidas sumergido pre temple aztec
,descripcion,3,NEU,NEUTRAL,-1,esta parado oscuridad cerca caminando castillo castillo sombrio castillo mapeo proyeccion proyeccion parado cerca castillo almacen oscuro mapeo lumen reflexion silueta murcielagos volando castillo castillo dentro castillo instalacion diseno proyeccion oscuridad oscuridad
,descripcion,3,NEU,NEUTRAL,-1,vieja medio desierto catalogo museo 4 4 imagen megestructura 1960 1935 4
,descripcion,9,POS,NEUTRAL,-1,parado frente puerta torri arqueologicamente enorme puerta grande portcullis puerta circular blanca arcos brutalista
,descripcion,3,NEU,NEUTRAL,-1,montana castillo destruido almenas soldados 1987 castillo 1990 arqueologicamente 1980 imagen
,descripcion,1,NEU,NEUTRAL,-1,articulo periodico dos hombres sensacionalista recortes periodicos articulo periodico recorte periodicos alrededor 1970 cobertura noticias alrededor circa 1969 1971 alrededor 1973 recortes revista moda
,descripcion,5,NEU,NEUTRAL,-1,vista cascadas plas selva paisajes abandonadas
,descripcion,0,NEU,NEUTRAL,-1,arco arco triunfo se construyo primeros arcos secos arcos paredes 1987 1990 arco masivo 1981 hay arcos wolf vostell puente vino danado 1999
,descripcion,4,NEU,NEUTRAL,-1,montana parte superior david wojnarowicz arqueologica pintura mate cai guo qiang wolf vostell toshiko okanoue insvolcle insvanamente detallada julian schnabel stanley donwood
,descripcion,2,POS,NEUTRAL,-1,mexico enormes viejas 1990 1999 blanca post apocaltaticas arthus bertrand atrasado
,descripcion,2,NEU,NEUTRAL,-1,yucatan rodeada vegetacion amazon mundo perdido vista aerea tierra alienigena perdida catedral masiva frontera selva amazon jungle jungle selva
,descripcion,2,NEU,NEUTRAL,-1,sentado tazon comida luis nieves sr miner kilbourne kellogg fred flintstone comiendo tamales klaus schwab eating bugs inspirado ralph burke tyree cuban setting hulton archives puerto rico george floyd frank stephenson elliot american canteen granhon 1950ss 1950 195
,descripcion,1,NEU,NEUTRAL,-1,periodico traje helio oiticica sensacionalista penny rimbaud alrededor real calle vaquero mexicano nina alrededor 1970 heraldo ortega realista circa 1982 guerilla heroico
,descripcion,9,NEU,NEUTRAL,-1,parado frente portal piramides piramides doradas piramides perdidos piramides ante piramides tumbas piramides rodeados vegetacion pueden forma ruina piramides pyramids piramas arcos majestuosos
,descripcion,2,NEU,NEUTRAL,-1,chila mexico portal piramidal brutalista megestructura piramidal arcos muros pintura mate simetrica romana surrealista symitectura perfecta centradas imagen alienigena imagen imagen imagen mas alta imagen imagen imagen mas alta imagen imagen mas alta imagen imagen imagen mas alta imagen imagen
,descripcion,3,NEU,NEUTRAL,-1,pila escombros colina vieja paisaje espeluznante vertedero 4 4 imagen 1960 montanas destruidas road deslizantes 1930 combacos pequenos ocasionales 1930 4
,descripcion,4,POS,NEUTRAL,-1,sun sets ruins chila mexico pyramid ruins sundown ancient megastructure pyramid ancient pyramid temples temple sun mayan pyramid surrounded greenery lost world pyramid portal giant aztec spaceship giant palace aztec architecture sacred ancient architecture mayan style grandes catedral sol
,descripcion,5,NEU,NEUTRAL,-1,parado sobre roca mirando ella panorama torcida vista panoramica centrada nina cascadas panoramicas antes ruidos amplio angular angulo
,descripcion,7,POS,NEUTRAL,-1,chila sol ante grandes blanca
,descripcion,2,NEU,NEUTRAL,-1,proyeccion proyectada mapeo proyeccion instalacion diseno proyeccion proyecciones coloridas proyecciones detalladas proyecciones colores proyeccion paisaje digital graffiti mapeo lumenes reflexion paredes digitales proyeccion holografica lan mcque pantallas lideradas pintados pantallas luz digital paredes dolores paredes dolor paredes 3d
,descripcion,1,NEU,NEUTRAL,-1,parado junto jeep pelicula todavia barack obama captura pantalla encontradas jeep pelicula color todavia todavia video musical captura pantalla pelicula todavia filmada desde pelicula lodo pelicula todavia mahindra thar todavia pelicula todavia documental naturaleza
,descripcion,1,NEU,NEUTRAL,-1,pieza periodico traje alrededor 1958 jacqueline e alrededor 1970 alrededor 1969 alrededor 1958 1959 alrededor 1961 1962
,descripcion,3,NEU,NEUTRAL,-1,grupo hombres montando caballo camino tierra puente vid danado arqueologica realista restaurada cruzada trincheras metraje historico acero bull run real archivos accion vivo realista realista acuquesceductos historica realisitc
,descripcion,2,NEU,NEUTRAL,-1,pajaro volando sobre ella mundo perdido al atardecer alienigenas torre viejas antiguo barco antiguo intacto piramides piramides cerca greenery green timbes nave alienigena
,descripcion,8,NEU,NEUTRAL,-1,medio desierto blanca blanca temperamento piramida piramida
,descripcion,4,NEU,NEUTRAL,-1,woman white dress hat walking path carrying tray ethiopian sri lankan landscape 1990s photograph white shirts 1990 photograph 1987 photograph 1980s photograph cuban women havana bolivian cholitas sri lanka assamese aesthetic workers
,descripcion,4,NEU,NEUTRAL,-1,police officer stands guard side road cars pass by last v interceptor triumph cars people hotrods driving street car corvette c2 1969 tomaso corvette c2 1969 andrew tate driving bugatti police tesla chase scene cobra
,descripcion,2,NEU,NEUTRAL,-1,pajaro volaba sobre lleno arboles huginn muninn volando encima volando pajaros distancia aguila volando paisaje sri lanka paloma manchada volando aves vuelan distancia aves voladoras distancia aves volando aves aves pajaros aves cielo pajaros volando flujo solar luz solar
,descripcion,2,NEU,NEUTRAL,-1,pasarela ladrillo letrero dice cielo parcialmente nublado planeta entorno plantas dia parcialmente nublado planeta disco planeta planeta cielo planeta parques espacio publico bangalore parques monumentos cielo soleado claro panoramica videos vibrantes afuera parque cielo despejado encima
,descripcion,2,NEU,NEUTRAL,-1,grupo hongos estatuas cabeza alienigena restos coloso estatuas megalitos tres moiras megalitos distopia estatuas rotas astronautas siglo iii a
,descripcion,3,NEU,NEUTRAL,-1,edificios destruidos castillo destruido pelicula primera guerra mundial camara segunda guerra mundial iglesia destruida explosion bombas atomicas mumbai edificios colapsados pintura mate segunda guerra mundial torres kremlin destruidas humanas destruidas monasteria arqueologica arqueada restaurada restaurada restaurado
,descripcion,1,NEU,NEUTRAL,-1,vista desde ventana metraje vhs captura pantalla pelicula camara kodak 1960 camara kodak anos 70 pelicula mm todavia captura pantalla encontradas vhs conjunto peliculas pelicula color todavia desde interior
,descripcion,4,NEG,NEUTRAL,-1,lente 360 persona patineta vista epica viejas pisoteando captura solares ruidos solares
,descripcion,1,NEU,NEUTRAL,-1,recorte periodicos mujer alrededor 1982 circa circa 4 circa 1970 1978 1981 1977 circa circa 1969
,descripcion,2,NEU,NEUTRAL,-1,pintura pintura simetrica iconografia arte pop intrincado obra arte simetrica intrincada diseno nazca obras arte simetricos pintura ilusion oculta imagen pintura muralismo mexicano ravi supa sindico monalero sinteco pintura unica e intrincada mural pintura intrincada simmetrica arte simmetrico arte symetrico
,descripcion,9,NEU,NEUTRAL,-1,grupo personas alrededor muro brutalista arqueologicamente representa terrazas escalonadas 4 4 imagen
,descripcion,1,POS,NEUTRAL,-1,camino tierra arbustos tomado camara kodak 1960 pelicula color todavia mm pelicula captura pantalla encontradas vhs todavia captura pantalla pelicula 1983 sobre camara kodak 1970 super mm pantalla pelicula peliculas aun video musical
,descripcion,4,POS,NEUTRAL,-1,large pyramid tree front it ancient megastructure pyramid ancient pyramid surrounded greenery pyramid giant tomb structures lost world pyramid giant aztec spaceship giant palace pyramid portal golden pyramids tower babel pyramid background aztec architecture ziggurat giant snake castle tower babel monumentales
,descripcion,1,NEU,NEUTRAL,-1,periodico medio juegos olimpicos 1960 jacqueline e miles df juegos olimpicos 1960 kodachrome 64 kodachrome 4 1961 circa circa 1969 articulo periodico papel antiguo viejo papel
,descripcion,2,NEU,NEUTRAL,-1,escenario noche proyecciones coloridas instalacion diseno proyeccion pintado mapeo proyeccion coloridas proyecciones detalladas proyecciones colores oscuridad mural arte mural proyeccion mural simbolico paredes digitales obras arte pintura gigantesca arte luz etapa iluminacion epica iluminada epetica
,descripcion,2,NEU,NEUTRAL,-1,casa medio campo noche poca luz catacumbas velas realista subexpuesta misterioso entorno corona noche iluminacion volumetrica es museo baja luz museo luz lumion
,descripcion,2,NEU,NEUTRAL,-1,libro imagen dos hombres uniforme colonial era street luis nieves sr revolucion cubana george barret sr manuel sanjulian oswaldo guayasaman die muertos ivan bolivian ned kelly rene
,descripcion,2,POS,NEUTRAL,-1,estructura cabeza oro estatuas cabeza alienigena oraculo ancianos coloso restos enormes megaliticos mundial perdida estatuas cabeza tumbas epic oxagues cabeza oxagues
,descripcion,4,POS,NEUTRAL,-1,ruins mexico giant palace temples ancient megastructure pyramid mayan ancient pyramid surrounded greenery trampling ancient city mayan style aztec architecture beautiful ancient ruins behind ruins ancient city ruins aztec mythology giant tomb structures brutalist aztec architecture grandes mitologia clasica
,descripcion,2,NEU,NEUTRAL,-1,agujero realista parce sepulto dia paz vale encantado yutja dia muertos religie fotomanipulacion inspirado oscar rodraguez naranjo apocalia apocalipos mundial vistentado solo traves portal
,descripcion,2,POS,NEUTRAL,-1,coosa lona mitologia clasica dios digital instagram dios lona artes culturas google epic oxagues oracle elders cineema monumentales monumentales
