texto_original,texto_limpio,texto_procesado,cluster,tema_principal,ciudad,fuente,prompt,prompt_traducido,prompt_limpio,sentimiento,frame,subtopico
"🎤✨ ¡Hey, Team Bride!
 
¿Listas para una despedida de soltera épica? 
Canten, rían y desahóguese antes del gran día en la @saladedespecho o, el lugar perfecto para dejar salir todo... ¡con karaoke, vasos de Paquita la del Barrio y muchas lágrimas de diversión! 🍸😭","hey team bride
 
listas para una despedida de soltera epica 
canten rian y desahoguese antes del gran dia en la  o el lugar perfecto para dejar salir todo con karaoke vasos de paquita la del barrio y muchas lagrimas de diversion",hey team bride lista despedida soltera epico cantar rian desahoguese lugar perfecto dejar salir karaoke vaso paquita barrio lagrima diversion,1,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,-1
"Este hub no es solo un cruce de caminos globales, es el inicio de tu historia en Guadalajara, una ciudad en tendencia. 

Con cada vuelo, te acerca a lo mejor de la vida urbana y las tradiciones mexicanas, todo esperándote del otro lado de la puerta de embarque. 🛫

📸@ithziia","este hub no es solo un cruce de caminos globales es el inicio de tu historia en guadalajara una ciudad en tendencia 

con cada vuelo te acerca a lo mejor de la vida urbana y las tradiciones mexicanas todo esperandote del otro lado de la puerta de embarque",hub cruce camino global inicio historia guadalajara ciudad tendencia vuelo acerca vida urbano tradición mexicano esperandotir puerta embarque,0,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"La mejor medicina para este calor ❤️‍🔥 

Te dejamos el Antimonchos ideal para ese antojo de mariscos 🤝💌","la mejor medicina para este calor  

te dejamos el antimonchos ideal para ese antojo de mariscos",medicina calor dejar antimonchos ideal antojo marisco,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,POS,NEUTRAL,-1
"✨Conectividad top, vibra urbana y ritmo que no para. Desde tranvías hasta ciclovías, moverte en nuestra ciudad es tan fácil como disfrutar de nuestras increíbles vistas. Ven y vive la experiencia de una ciudad que nunca se detiene 

¿Listo para explorar #Guadalajara? 🌆🚊 

Envíale este video a quien debe de venir a la ciudad contigo

📸@diego_robbles","conectividad top vibra urbana y ritmo que no para desde tranvias hasta ciclovias moverte en nuestra ciudad es tan facil como disfrutar de nuestras increibles vistas ven y vive la experiencia de una ciudad que nunca se detiene 

listo para explorar guadalajara  

enviale este video a quien debe de venir a la ciudad contigo",conectividad top vibrar urbano ritmo tranvias ciclovia movertar facil disfrutar increibl visto ver vivir experiencia detener listo explorar guadalajara envialar video venir ciudad,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"Nunca es tarde para sorprender a mamá con: ¡Un viaje a Guadalajara! 

Imagina su cara de sorpresa al explorar las coloridas calles, disfrutar de un delicioso brunch y bailar al ritmo del mariachi. 🌮💃

¡Haz de #GDL el destino de sus mejores recuerdos! 

📸mandy_dortschy","nunca es tarde para sorprender a mama con un viaje a guadalajara 

imagina su cara de sorpresa al explorar las coloridas calles disfrutar de un delicioso brunch y bailar al ritmo del mariachi 

haz de gdl el destino de sus mejores recuerdos 

mandy_dortschy",sorprender mama viaje guadalajara imaginar cara sorpresa explorar colorida calle disfrutar delicioso brunch bailar ritmo mariachi haz gdl destino mejor recuerdo mandy dortschy,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,-1
"Los tianguis son el lugar perfecto para encontrar ropa buena, bonita y barata. 

Date una vuelta por el bazar Circulo MX, el icónico mercado donde seguro encontrarás el outfit perfecto.

📸@circuloo.mx","los tianguis son el lugar perfecto para encontrar ropa buena bonita y barata 

date una vuelta por el bazar circulo mx el iconico mercado donde seguro encontraras el outfit perfecto

mx",tianguis lugar encontrar ropa bonito barato datar vuelta bazar circulo iconico mercado seguro encontrarar outfit perfecto,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,-1
"¡Lo + rico de este calor es quitártelo! ☀️

Una probadita de lo más refrescante en la Perla Tapatía 💌 Un raspadito, un tejuino y la nieve pa’ amarar.","lo  rico de este calor es quitartelo 

una probadita de lo mas refrescante en la perla tapatia  un raspadito un tejuino y la nieve pa amarar",rico calor quitartelo probadito refrescante perla tapatia raspadito tejuino nieve amarar,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,4
"Siguiente parada: Guadalajara, Centro 

Recorre #GDL y descubre el arte urbano y los spots más trendy. 

El tren es tu acceso directo a todo lo chido de la Perla🌆✨

📸@gdl.vibes","siguiente parada guadalajara centro 

recorre gdl y descubre el arte urbano y los spots mas trendy 

el tren es tu acceso directo a todo lo chido de la perla

vibes",parada guadalajara centro recorrer gdl descubrir arte urbano spot trendy tren acceso directo chido perla vibes,0,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"Festeja a mamá en la perla tapatía 🤍 

Te dejamos una ruta para que consientas a tu mamá este 10 de Mayo 💌

Un buen desayuno con mariachi en el barrio de las 9 esquinas y luego ir por unas flores al mercado de Mezquitán para empezar con todo ✨

Un brunch a medio día en uno de los lugares más cool en la colonia Americana en @zunoallday 

El postre no puede faltar y en @eloisebakedgoods encuentras lo mero rico ❤️‍🔥🍪

Y cerramos con broche de oro en la alberca del @hrhguadalajara para disfrutar de este calor y unos buenos drinks ☀️🥂","festeja a mama en la perla tapatia  

te dejamos una ruta para que consientas a tu mama este 10 de mayo 

un buen desayuno con mariachi en el barrio de las 9 esquinas y luego ir por unas flores al mercado de mezquitan para empezar con todo 

un brunch a medio dia en uno de los lugares mas cool en la colonia americana en  

el postre no puede faltar y en  encuentras lo mero rico 

y cerramos con broche de oro en la alberca del  para disfrutar de este calor y unos buenos drinks",festejar perla tapatia dejar ruta consientar mama mayo desayuno mariachi barrio esquina flor mercado mezquitan empezar brunch lugar cool colonia americano postre faltar encontrar mero rico cerrar broche oro alberca disfrutar calor drinks,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,-1
"🍹 ¡Sácale el máximo provecho al calor en Guadalajara con estos tips!
☀️ Mantente hidratado: Lleva siempre una botella de agua y disfruta de nuestras refrescantes aguas frescas.
🏞️ Explora áreas verdes: Escapa al frescor de los parques y jardines de la ciudad.
🥤 Disfruta un tejuino: Refréscate con las deliciosas bebidas locales. 
🗺️ Busca actividades indoor en horas pico de calor: Visita museos y galerías durante el mediodía.
🌆 Termina el día en una terraza: Disfruta de las noches frescas y vistas impresionantes.

¡Vive un verano genial sin que el calor te detenga! 

📸@roberthoprz","sacale el maximo provecho al calor en guadalajara con estos tips
 mantente hidratado lleva siempre una botella de agua y disfruta de nuestras refrescantes aguas frescas
 explora areas verdes escapa al frescor de los parques y jardines de la ciudad
 disfruta un tejuino refrescate con las deliciosas bebidas locales 
 busca actividades indoor en horas pico de calor visita museos y galerias durante el mediodia
 termina el dia en una terraza disfruta de las noches frescas y vistas impresionantes

vive un verano genial sin que el calor te detenga",sacale maximo provecho guadalajara tip mantente hidratado botella refrescante agua explorar area verde escapar frescor parque jardines ciudad disfrutar tejuino refrescate deliciosa bebida local buscar actividad indoor hora pico visito museo galerias mediodia terminar terraza disfruto noche fresco ver impresionante vivir verano genial calor detener,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,POS,NEUTRAL,-1
"Celebra este día del niño en la Perla Tapatía 🎈🤍

Te dejamos algunos lugares que puedes visitar con los pequeñines de la casa 💌","celebra este dia del nino en la perla tapatia 

te dejamos algunos lugares que puedes visitar con los pequenines de la casa",celebrar nino perla tapatia dejar lugar visitar pequenín casa,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"Norte, sur, este u oeste, en #Guadalajara siempre hay un lugar que visitar. 🧳🗺️",norte sur este u oeste en guadalajara siempre hay un lugar que visitar,norte sur oeste guadalajara lugar visitar,0,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"¡Guadalajara Guadalajara! 🇲🇽
La perla tapatía vista desde noche 🌃
-
No había tenido la fortuna de conocer esta bella ciudad en la noche, fue una experiencia linda y que pronto regresaré, por el momento disfruten desde mi ojo la belleza de esta GRAN CIUDAD. 🙈
-
Te invito a visitar #Guadalajara, disfrutar de su gran gastronomía y conocer su gran historia y arquitectura. 🫶🏼
-
@djimexicooficial AIR 2s | GUADALAJARA | 2024 🚁","guadalajara guadalajara 
la perla tapatia vista desde noche 

no habia tenido la fortuna de conocer esta bella ciudad en la noche fue una experiencia linda y que pronto regresare por el momento disfruten desde mi ojo la belleza de esta gran ciudad 

te invito a visitar guadalajara disfrutar de su gran gastronomia y conocer su gran historia y arquitectura 

 air 2s  guadalajara  2024",perla tapatia visto fortuna bello noche experiencia lindo regresare momento ojo belleza ciudad invitar visitar disfrutar gastronomia historia arquitectura air guadalajara,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"Arte contemporáneo en Guadalajara, en tu próxima visita a nuestra ciudad no te puedes perder estas galerías de arte: 

🎨 House of Gaga, fundada por Fernando Mesta y José Rojas en 2008
🎨 Proyecto Caimán, busca dar forma y voz a proyectos de artistas nacionales y extranjero.
🎨Guadalajara90210, fundada en 2017 por Alma Saladin y Marco Rountree Cruz

#GDLTuCultura","arte contemporaneo en guadalajara en tu proxima visita a nuestra ciudad no te puedes perder estas galerias de arte 

 house of gaga fundada por fernando mesta y jose rojas en 2008
 proyecto caiman busca dar forma y voz a proyectos de artistas nacionales y extranjero
guadalajara90210 fundada en 2017 por alma saladin y marco rountree cruz

gdl tu cultura",contemporaneo guadalajara proximo visita ciudad perder galeria arte house gaga fernando mesta jose rojo caiman buscar forma voz proyecto artista nacional extranjero guadalajara90210 fundado alma saladin marco rountree cruz gdl cultura,0,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"En Guadalajara, la primavera trae consigo un espectáculo de color que no te puedes perder. Las calles se llenan de tonos morados mientras las jacarandas florecen, creando el escenario perfecto para tus fotos más trendy. 

#GDLHazlaTuya","en guadalajara la primavera trae consigo un espectaculo de color que no te puedes perder las calles se llenan de tonos morados mientras las jacarandas florecen creando el escenario perfecto para tus fotos mas trendy 

gdl ha zl atu ya",guadalajara primavera traer espectaculo color perder calle llenar tono morado jacaranda florecer crear escenario perfecto foto trendy gdl atu,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"¡Sube al tren! 🚇💫 

Explora la ciudad de una manera totalmente trendy y sin complicaciones con el moderno metro de Guadalajara. 

Olvídate del tráfico y súmate a la movida urbana mientras recorres los puntos más cool de la ciudad. 

#GDLHazlaTuya","sube al tren  

explora la ciudad de una manera totalmente trendy y sin complicaciones con el moderno metro de guadalajara 

olvidate del trafico y sumate a la movida urbana mientras recorres los puntos mas cool de la ciudad 

gdl ha zl atu ya",subir tren explorar totalmente trendy complicación moderno metro guadalajara olvidate trafico sumatir movida urbano recorres punto cool ciudad gdl atu,0,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
Nuestra ciudad florece con la llegada de la primavera y nos encanta 🌸🍃☀️,nuestra ciudad florece con la llegada de la primavera y nos encanta,ciudad florecer llegada primavera encantar,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,1
"Si no pudiste oler este video, mejor ven a visitar Guadalajara. 

Manejar por las calles de nuestra ciudad en primavera se siente así… ¿Qué esperas para visitar nuestra ciudad? 🌸🌼🌻

#GDLHazlaTuya

📸@fedegdl","si no pudiste oler este video mejor ven a visitar guadalajara 

manejar por las calles de nuestra ciudad en primavera se siente asi que esperas para visitar nuestra ciudad 

gdl ha zl atu ya",poder oler video ver guadalajara manejar calle primavera sentir esperar visitar ciudad gdl atu,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"Con el Día de las Madres a la vuelta de la esquina, es tiempo de planear algo mega especial. ¿Qué tal un viaje a Guadalajara? Pero no cualquier viaje: uno donde la comida sea la verdadera MVP. 🍽️
Tienes que venir a estos lugares: 
🍴 Terra Madre 
🍴 Trattoria
🍴 Beluga 

#DateGDL","con el dia de las madres a la vuelta de la esquina es tiempo de planear algo mega especial que tal un viaje a guadalajara pero no cualquier viaje uno donde la comida sea la verdadera mvp 
tienes que venir a estos lugares 
 terra madre 
 trattoria
 beluga 

date gdl",vuelta esquina tiempo planear mego especial guadalajara viaje comida mvp tener venir lugar terra madre trattoria beluga date gdl,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"Este Día del Niño, ¿qué tal si rompemos la rutina y te lanzas a Guadalajara? Un día donde las risas, los juegos y la exploración están garantizados en una ciudad con todo para divertirse a lo grande. 🎈✨ 

Parques mágicos y museos interactivos esperan para fascinar a chicos y grandes. 🏰 

Te dejamos nuestra lista: 
Wokivia 
Sealand 
Planetario Lunaria","este dia del nino que tal si rompemos la rutina y te lanzas a guadalajara un dia donde las risas los juegos y la exploracion estan garantizados en una ciudad con todo para divertirse a lo grande  

parques magicos y museos interactivos esperan para fascinar a chicos y grandes  

te dejamos nuestra lista 
wokivia 
sealand 
planetario lunaria",nino romper rutina lanzar guadalajara risa juego exploracion garantizado ciudad divertir él parque magico museo interactivo esperar fascinar chico dejar lista wokivia sealand planetario lunario,4,él,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,1
"Desde el avión, Guadalajara es 🔥. ¿Quién más cree que desde arriba todo se ve más cool? 🌆🕶

Aquí va el spoiler: GDL es un nivel boss de cultura, fiesta y foodies. 
🌮🎉 Prepárate para selfies con murales de otro mundo, maratones de tortas ahogadas y, obvio, el upgrade necesario de tequila. 🍹
¿Listos para darle play a esta aventura?

📸@lizzyherr","desde el avion guadalajara es  quien mas cree que desde arriba todo se ve mas cool 

aqui va el spoiler gdl es un nivel boss de cultura fiesta y foodies 
 preparate para selfies con murales de otro mundo maratones de tortas ahogadas y obvio el upgrade necesario de tequila 
listos para darle play a esta aventura",avion guadalajara creer cool spoiler gdl nivel boss cultura fiesta foodies preparatar selfies mural mundo maratones torta ahogada obvio upgrade necesario tequila listo dar él play aventura,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,-1
"¿Listxs para semana santa? ☀️🤍

Te dejamos algunas cositas que puedes hacer en nuestra bella ciudad durante estos días de calorcito y vacaciones ✨","listxs para semana santa 

te dejamos algunas cositas que puedes hacer en nuestra bella ciudad durante estos dias de calorcito y vacaciones",listx semana santo dejar cosita bello ciudad calorcito vacación,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,4
"El #DíaDelTejuino en GDL es el must-go para sumergirse en arte líquido, por ser una pieza clave prehispánica que nos conecta con nuestras raíces.🌿

Guadalajara se pone de gala para celebrar esta joya ancestral con una vibra que solo aquí encontrarás.","el d adel te ju in o en gdl es el mustgo para sumergirse en arte liquido por ser una pieza clave prehispanica que nos conecta con nuestras raices

guadalajara se pone de gala para celebrar esta joya ancestral con una vibra que solo aqui encontraras",adel gdl mustgo sumergir él arte liquido pieza clave prehispanico conectar raiz guadalajara poner gala celebrar joya ancestral vibra encontrarar,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,8
"Martes de Antimonchos pa’que se vayan por unos ricos chilaquiles 💌🍽️

Hay que empezar bien la semana y que mejor que con estas delicias 😮‍💨

¿Cuales son tus favvv?","martes de antimonchos paque se vayan por unos ricos chilaquiles 

hay que empezar bien la semana y que mejor que con estas delicias 

cuales son tus favvv",martes antimonchos paque ir rico chilaquil empezar semana delicia favvv,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"Conoce las 6 casas más cool para visitar este Jueves Santo, en Guadalajara: 
🕊️ Parroquia San Miguel de Mezquitán 
🕊️ Parroquia de Nuestra Señora del Rosario 
🕊️ Parroquia de San Juan Bautista 
🕊️ Templo Expiatorio 
🕊️ Templo Aranzazú 
🕊️ Templo de San Juan de Dios 

¡Te esperamos!","conoce las 6 casas mas cool para visitar este jueves santo en guadalajara 
 parroquia san miguel de mezquitan 
 parroquia de nuestra senora del rosario 
 parroquia de san juan bautista 
 templo expiatorio 
 templo aranzazu 
 templo de san juan de dios 

te esperamos",conocer casa cool visitar jueves santo guadalajara miguel mezquitan senora rosario parroquia bautista expiatorio aranzazu templo san juan dios esperar,1,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,2
"¿Listxs para este fin de semana largo? 🤍☀️

Te dejamos algunas cosas chidas que puedes hacer en esta bella ciudad ✨ @visita_guadalajara","listxs para este fin de semana largo 

te dejamos algunas cosas chidas que puedes hacer en esta bella ciudad",listxs semana dejar cosa chida bello ciudad,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"Desconectarte, sentir la brisa del lago y vivir un espectáculo natural mientras el sol se esconde, cada segundo en Chapala se convierte en una postal viva, un recuerdo imborrable.

Así que si buscan una escapada que les llene el alma (y el feed de Insta), Chapala es el spot. No solo es turismo; es reconectar con la magia de México. 🌺

📸@alfglez","desconectarte sentir la brisa del lago y vivir un espectaculo natural mientras el sol se esconde cada segundo en chapala se convierte en una postal viva un recuerdo imborrable

asi que si buscan una escapada que les llene el alma y el feed de insta chapala es el spot no solo es turismo es reconectar con la magia de mexico",desconectar tú sentir brisa lago vivir espectaculo natural sol esconder convertir postal vivo recuerdo imborrable buscar escapada llenar alma feed instar chapala spot turismo reconectar magia mexico,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,-1
"Imaginen esto: su día en Guadalajara. No es cualquier día, es EL día donde cada momento está lleno de vibra, color y sabor que solo GDL puede ofrecer. 🌟✈️ 

Así que, si estuvieras aquí, tu día sería una aventura sin fin, un viaje a través de la cultura, la pasión y la alegría de vivir. ¿Te lo vas a perder? 🌆

📸 @belenreyna","imaginen esto su dia en guadalajara no es cualquier dia es el dia donde cada momento esta lleno de vibra color y sabor que solo gdl puede ofrecer  

asi que si estuvieras aqui tu dia seria una aventura sin fin un viaje a traves de la cultura la pasion y la alegria de vivir te lo vas a perder",imaginar guadalajara momento lleno vibra color sabor gdl ofrecer serio aventura viaje traves cultura pasion alegria vivir perder,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"La arquitectura de los edificios de landmark que hacen que cualquier esquina se sienta como el centro del mundo. 🏛️

Son esos spots que no solo se ven cool, sino que te hacen sentir en trend Perfectos para esa foto que todos van a querer replicar. 🏙️🔥

¡Ven a conocerlos! 
📸@aylin_rope","la arquitectura de los edificios de landmark que hacen que cualquier esquina se sienta como el centro del mundo 

son esos spots que no solo se ven cool sino que te hacen sentir en trend perfectos para esa foto que todos van a querer replicar 

ven a conocerlos",arquitectura edificio landmark esquina sentar centro mundo spot cool sentir trend perfecto foto replicar ver conocer él,4,él,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,1
"Te dejamos 3 museos que puedes visitar en Guadalajara 💌

Se acerca la primavera, el calorcito y las ganas de salir a explorar nuestra bella ciudad ☀️

¿A cuál vamos primero? 👀","te dejamos 3 museos que puedes visitar en guadalajara 

se acerca la primavera el calorcito y las ganas de salir a explorar nuestra bella ciudad 

a cual vamos primero",dejar museo visitar guadalajara acercar primavera calorcito gana salir explorar bello ciudad,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
"¡Imagina un viaje lleno de risas, música y paisajes impresionantes con tus mejores amigos! 🛣️🎶 Desde la Ciudad de México hasta Guadalajara ¿Listos para la aventura de sus vidas? 

Empaquen sus maletas, elijan sus playlists y pongan rumbo a la Perla Tapatía
Etiqueta a tus amigos. 

📸Jaxxkie_","imagina un viaje lleno de risas musica y paisajes impresionantes con tus mejores amigos  desde la ciudad de mexico hasta guadalajara listos para la aventura de sus vidas 

empaquen sus maletas elijan sus playlists y pongan rumbo a la perla tapatia
etiqueta a tus amigos 

jaxxkie_",imaginar viaje lleno risa musica paisaje impresionante mejor ciudad mexico guadalajara listo aventura vida empacar maleta elegir playlist poner rumbo perla tapatio etiqueta amigo jaxxkie,2,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,-1
"¿Torta o lonche? 🤔 Aquí te traemos la información que cura.

Para todxs los que viven debatiendo si son lo mismo o no les traemos este especial de gastronomía jaliscience 🇲🇽

Envíale este post a tu amigx que ama los lonches 👀","torta o lonche  aqui te traemos la informacion que cura

para todxs los que viven debatiendo si son lo mismo o no les traemos este especial de gastronomia jaliscience 

enviale este post a tu amigx que ama los lonches",torta lonche informacion cura todxs vivir debatir traer especial gastronomia jaliscience envialar post amigx amar lonch,3,guadalajara,GUADALAJARA_CORPUS_LIMPIO,post,,,,NEU,NEUTRAL,0
