texto_original,texto_limpio,texto_procesado,cluster,tema_principal,ciudad,fuente,sentimiento,frame,subtopico,prompt,prompt_traducido,prompt_limpio
"Descubre el Pabellón Nacional de la Biodiversidad en Ciudad Universitaria. 🦋🦥🐆✨

Visita este espacio interactivo dedicado a la difusión de la preservación natural, su importancia en México y el mundo. 🦉🐞

Sumérgete en la riqueza de la vida silvestre y diviértete mientras aprendes. 😉

📍Visítalo en: Circuito. Centro Cultural, Ciudad universitaria, Coyoacán, C.P. 04510, #CiudadDeMéxico.
🎟 Entrada libre 

•
•
•
•
•

#TurismoCDMX #naturelovers #animallovers #mexicocity #unam #cdmx","descubre el pabellon nacional de la biodiversidad en ciudad universitaria 

visita este espacio interactivo dedicado a la difusion de la preservacion natural su importancia en mexico y el mundo 

sumergete en la riqueza de la vida silvestre y diviertete mientras aprendes 

visitalo en circuito centro cultural ciudad universitaria coyoacan cp 04510 ciudad dem xico
 entrada libre 







turismo c dmx nature lovers animal lovers mexico city unam c dmx",descubrir pabellon nacional biodiversidad visita espacio interactivo dedicado difusion preservacion natural importancia mundo sumergete riqueza vida silvestre diviertetir aprender visitalo circuito centro cultural universitario coyoacan ciudad dem xico entrada libre turismo nature animal lovers mexico city unam dmx,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,1,,,
"En el Centro Histórico de la Ciudad de México convergen épocas y estilos arquitectónicos.

A través de sus edificios, calles empedradas, sitios y ventanas arqueológicas quienes lo visitan se encuentran con escenarios urbanos extraordinarios.

¡Ven a conocerlo! 😉

#TurismoCDMX","en el centro historico de la ciudad de mexico convergen epocas y estilos arquitectonicos

a traves de sus edificios calles empedradas sitios y ventanas arqueologicas quienes lo visitan se encuentran con escenarios urbanos extraordinarios

ven a conocerlo 

turismo c dmx",centro historico ciudad mexico convergir epoca estilo arquitectonico traves edificio calle empedrado sitio ventana arqueologica visitar encontrar escenario urbano extraordinario ver conocer él turismo dmx,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"#BuenosDías ☀️

Lago Mayor de la segunda sección del Bosque de @chapultepeccdmx es uno de los puntos más especiales para disfrutar una caminata a cualquier hora del día. 

¡Ven a conocerlo! 😉

•
•
•
•

#nature #cdmx #turismocdmx #méxicocity #naturalezaviva #naturephotography","buenos d as 

lago mayor de la segunda seccion del bosque de  es uno de los puntos mas especiales para disfrutar una caminata a cualquier hora del dia 

ven a conocerlo 






nature c dmx turismo c dmx m xico city natural eza viva nature photography",lago seccion bosque punto especial disfrutar caminata hora ver conocer él turismo dmx xico city natural eza viva nature photography,1,dmx,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,1,,,
"Museo Comunitario Cuitláhuac Tláhuac

Admira las maravillosas piezas arqueológicas, fotografías y objetos históricos que integran la colección del museo. Disfruta un viaje a través del tiempo y conoce más sobre la riqueza cultural y las tradiciones de Tláhuac.","museo comunitario cuitlahuac tlahuac

admira las maravillosas piezas arqueologicas fotografias y objetos historicos que integran la coleccion del museo disfruta un viaje a traves del tiempo y conoce mas sobre la riqueza cultural y las tradiciones de tlahuac",comunitario admirar maravilloso pieza arqueologica fotografias objeto historico integrar coleccion museo disfrutar viaje traves tiempo conocer riqueza cultural tradición tlahuac,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"¿Qué conocer en Santa María la Ribera?

Por sus joyas arquitectónicas, espacios culturales y gastronómicos, este barrio de la Ciudad de México es uno de los más populares.

Visítalo y conoce el Kiosco Morisco, el Museo de Geología, Museo Universitario del Chopo y mucho más.","que conocer en santa maria la ribera

por sus joyas arquitectonicas espacios culturales y gastronomicos este barrio de la ciudad de mexico es uno de los mas populares

visitalo y conoce el kiosco morisco el museo de geologia museo universitario del chopo y mucho mas",santa maria ribera joya arquitectonica espacio cultural gastronomico barrio ciudad mexico popular visitalo conocer kiosco morisco geologia museo universitario chopo,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"¿#SabíasQue en el Bosque de Chapultepec se encuentran ""Los Baños de Moctezuma""?

Este sitio de origen prehispánico tuvo origen en el siglo XV y es semejante a una pileta. Almacenaba agua de manantial que provenía del sistema hidráulico del sitio y se cree que fue una solicitud de Nezahualcóyotl o Moctezuma.","sab as que en el bosque de chapultepec se encuentran los banos de moctezuma

este sitio de origen prehispanico tuvo origen en el siglo xv y es semejante a una pileta almacenaba agua de manantial que provenia del sistema hidraulico del sitio y se cree que fue una solicitud de nezahualcoyotl o moctezuma",sab bosque chapultepec encontrar bano prehispanico origen siglo semejante pileta almacenar agua manantial proveniar sistema hidraulico sitio creer solicitud nezahualcoyotl moctezuma,1,dmx,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,1,,,
"Mercado San Juan Artesanías y Curiosidades 🪅✨ 

Descubre las artesanías y curiosidades del Mercado San Juan. Recorre sus pasillos y déjate sorprender por la creatividad y el talento de los artesanos mexicanos. 

#consumelocal #TurismoCDMX #artesania","mercado san juan artesanias y curiosidades  

descubre las artesanias y curiosidades del mercado san juan recorre sus pasillos y dejate sorprender por la creatividad y el talento de los artesanos mexicanos 

consume local turismo c dmx arte sania",artesanias descubrir artesania curiosidad mercado san juan recorrer pasillo dejate sorprender creatividad talento artesano mexicano consumir local turismo dmx arte sanio,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"Orquidario Parque Bicentenario 🪴💚

Para una cita, un paseo en grupo, o cual sea la ocasión, te compartimos este lugar especial del Parque Bicentenario para disfrutar una caminata entre Orquídeas.

¡Ven a conocerlo! 😉

#nature #cdmx #turismocdmx #plantas #plantlover #orquideas","orquidario parque bicentenario 

para una cita un paseo en grupo o cual sea la ocasion te compartimos este lugar especial del parque bicentenario para disfrutar una caminata entre orquideas

ven a conocerlo 

nature c dmx turismo c dmx plant as plant lover or qu ideas",orquidario cita paseo grupo ocasion compartir lugar especial parque bicentenario disfrutar caminata orquidea ver conocer él nature turismo dmx plant lover idea,1,dmx,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,1,,,
"Plaza Garibaldi, lugar donde las melodías del mariachi, artesanías y gastronomía te dan la bienvenida. 🎶🎺

Vive una velada en este punto del Centro Histórico y disfruta la vida nocturna de la Ciudad de México.✨🌙","plaza garibaldi lugar donde las melodias del mariachi artesanias y gastronomia te dan la bienvenida 

vive una velada en este punto del centro historico y disfruta la vida nocturna de la ciudad de mexico",plaza garibaldi lugar melodia mariachi artesanias gastronomia bienvenida vivir velada punto centro historico disfrutar vida nocturno ciudad mexico,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,-1,,,
"""Lucha por el clima"" respaldado por la Secretaría de Turismo de la Ciudad de México y el CMLL (el Consejo Mundial de Lucha Libre) y marcas líderes como Holcim México, Nestlé, Roche México y Clariant. Es una iniciativa que anima a las juventudes mexicanas a actuar contra el cambio climático.

📍 Sábado 8 de junio, 10-12h en Utopía Meyehualco, Iztapalapa.

📍 Domingo 16 de junio, 8-14h en Paseo de la Reforma, a la altura de la Diana Cazadora.

¡El planeta es nuestro ring: Únete a la lucha! Desde las calles de México hasta los proyectos de sostenibilidad impulsados por la cooperación Suiza-México, todos podemos ser parte del cambio.

 #cdmx @casadesuiza @cmll_mx","lucha por el clima respaldado por la secretaria de turismo de la ciudad de mexico y el cmll el consejo mundial de lucha libre y marcas lideres como holcim mexico nestle roche mexico y clariant es una iniciativa que anima a las juventudes mexicanas a actuar contra el cambio climatico

 sabado 8 de junio 1012h en utopia meyehualco iztapalapa

 domingo 16 de junio 814h en paseo de la reforma a la altura de la diana cazadora

el planeta es nuestro ring unete a la lucha desde las calles de mexico hasta los proyectos de sostenibilidad impulsados por la cooperacion suizamexico todos podemos ser parte del cambio

 c dmx",luchar clima respaldado secretaria turismo ciudad cmll consejo mundial libre marca lider holcim nestle roche clariant iniciativa animar juventudes mexicano actuar climatico sabado 1012h utopia meyehualco iztapalapa domingo junio 814h paseo reforma altura diana cazador planeta ring unete lucha calle mexico proyecto sostenibilidad impulsado cooperacion suizamexico cambio dmx,1,dmx,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,5,,,
"Iglesia de Santiago Tlatelolco

En 1521, después de la caída de Tenochtitlán, comenzó la construcción de este recinto religioso, edificado sobre el que fuera el centro ceremonial, ritual y comercial más importante de Tlatelolco.","iglesia de santiago tlatelolco

en 1521 despues de la caida de tenochtitlan comenzo la construccion de este recinto religioso edificado sobre el que fuera el centro ceremonial ritual y comercial mas importante de tlatelolco",iglesia santiago caida tenochtitlan comenzo construccion recinto religioso edificado centro ceremonial ritual comercial importante tlatelolco,3,mexico,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,0,,,
"Mercado de San Ángel

Su nombre oficial es Mercado Melchor Múzquiz y abrió en 1958.
Los murales que desde 2008 decoran su interior y exterior ofrecen una fascinante mirada al visitante. Tres importantes muralistas están retratados en esta obra de arte ¿Los identificas?
Frutos, vegetales, flores, abarrotes, disfraces, alimentos, productos de temporada y mucho más, encontrarás en este punto comercial.

¡Ven a conocerlo!","mercado de san angel

su nombre oficial es mercado melchor muzquiz y abrio en 1958
los murales que desde 2008 decoran su interior y exterior ofrecen una fascinante mirada al visitante tres importantes muralistas estan retratados en esta obra de arte los identificas
frutos vegetales flores abarrotes disfraces alimentos productos de temporada y mucho mas encontraras en este punto comercial

ven a conocerlo",san angel nombre oficial mercado melchor muzquiz abrio mural decorar interior exterior ofrecer fascinante mirada visitante importante muralista retratado obra arte identifica fruto vegetal flor abarrot disfraz alimento producto temporada encontrarar punto comercial ver conocer él,3,mexico,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,0,,,
"¡Fascinantes petroglifos en el Sitio Arqueológico de Cuahilama! 🤩

Por si tal vez no conocías este sitio de Santa Cruz Acalpixca, con gran importancia histórica, te sugerimos visitarlo para conocer los tesoros prehispánicos que aloja y prevalecen en el tiempo desde su creación en el perído de 1450 a 1521. 

🎟️ Entrada libre
 📍 Calle 2 de Abril, Tetacalanco, Xochimilco, 16510, Ciudad de México.
🕗Abierto las 24 hrs.","fascinantes petroglifos en el sitio arqueologico de cuahilama 

por si tal vez no conocias este sitio de santa cruz acalpixca con gran importancia historica te sugerimos visitarlo para conocer los tesoros prehispanicos que aloja y prevalecen en el tiempo desde su creacion en el perido de 1450 a 1521 

 entrada libre
  calle 2 de abril tetacalanco xochimilco 16510 ciudad de mexico
abierto las 24 hrs",fascinante petroglifo arqueologico cuahilama conociar sitio santa cruz acalpixca importancia historico sugerir visitar él tesoro prehispanico alojar prevalecer tiempo creacion perido entrada libre calle abril tetacalanco xochimilco ciudad mexico abierto hrs,1,dmx,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,2,,,
"Polyforum Siqueiros ✨

En tu paseo por la icónica Avenida Insurgentes o en tu visita al o World Trade Center, verás este original edificio que aloja un centro cultural privado y destaca en el paisaje urbano por las monumentales obras murales de David Alfaro Siqueiros.

¡Un imperdible y deleite a la pupila! 🤩

#turismocultural  #TurismoCDMX #arte","polyforum siqueiros 

en tu paseo por la iconica avenida insurgentes o en tu visita al o world trade center veras este original edificio que aloja un centro cultural privado y destaca en el paisaje urbano por las monumentales obras murales de david alfaro siqueiros

un imperdible y deleite a la pupila 

turismo cultural  turismo c dmx arte",polyforum paseo iconica avenido insurgente visita world trade center veras original edificio alojar centro privado destacar paisaje urbano monumental obra mural david alfaro siqueiro imperdible deleite pupila cultural turismo dmx arte,3,mexico,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,0,,,
"La nueva Línea 12 del #trolebúsaztecas, sustituye 107 microbuses y camiones diésel por 28 trolebuses de última generación, lo que permitirá mejorar la calidad del aire en la Ciudad de México al reducir las emisiones de Co2 y brindar viajes más cómodos a las y los habitantes. 
#másymejormovilidad con 19 estaciones que beneficiará colonias de la Alcaldía Coyoacán, como:

✅ Pedregal de Santo Domingo
✅ Pedregal de Carrasco
✅ Pedregal de Santa Úrsula
✅ América","la nueva linea 12 del t role b s aztec as sustituye 107 microbuses y camiones diesel por 28 trolebuses de ultima generacion lo que permitira mejorar la calidad del aire en la ciudad de mexico al reducir las emisiones de co2 y brindar viajes mas comodos a las y los habitantes 
m sy mejor mo vili dad con 19 estaciones que beneficiara colonias de la alcaldia coyoacan como

 pedregal de santo domingo
 pedregal de carrasco
 pedregal de santa ursula
 america",linea role aztec sustituir microbús camión diesel trolebús ultima generacion permitirar mejorar calidad aire ciudad mexico reducir emisión co2 brindar viaje comodo habitante vili dad estación beneficiar colonia alcaldia coyoacan santo domingo carrasco pedregal santa ursula americo,1,dmx,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,5,,,
"Visita Museo Jumex y disfruta de una experiencia extraordinaria en la exposición temporal de Damien Hirst: ""Vivir para Siempre (por un momento)."" ✨

57 obras icónicas del artista británico te esperan en este recinto de la Ciudad de México. Déjate sorprender por sus instalaciones, esculturas y pinturas. 🎨

🗓 Hasta el 25 de agosto. 
Conoce todos los detalles para planear tu visita en: 
 🌐 https://www.fundacionjumex.org/es/visita","visita museo jumex y disfruta de una experiencia extraordinaria en la exposicion temporal de damien hirst vivir para siempre por un momento 

57 obras iconicas del artista britanico te esperan en este recinto de la ciudad de mexico dejate sorprender por sus instalaciones esculturas y pinturas 

 hasta el 25 de agosto 
conoce todos los detalles para planear tu visita en",visitar museo jumex disfruta experiencia extraordinario exposicion temporal damien hirst vivir momento obra iconica artista britanico esperar recinto ciudad mexico dejate sorprender instalación escultura pintura agosto conocer detalle planear visita,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"Museo de la Ciudad de México habita uno de los edificios representativos de la arquitectura barroca del siglo XVIII.

Su colección comprende exposiciones itinerantes que expresan formas de vivir la Ciudad de México; se encuentra un Museo de sitio y el estudio Clausell. 

#museo #cdmx #turismocdmx #arte","museo de la ciudad de mexico habita uno de los edificios representativos de la arquitectura barroca del siglo xviii

su coleccion comprende exposiciones itinerantes que expresan formas de vivir la ciudad de mexico se encuentra un museo de sitio y el estudio clausell 

museo c dmx turismo c dmx arte",habitar edificio representativo arquitectura barroca siglo xviii coleccion comprender exposición itinerant expresar forma vivir ciudad mexico sitio estudio clausell museo turismo dmx arte,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"¡El  #DíaMundialDeLaBicicleta se vive en la Ciudad de México!🚴‍♀️❤️🚴‍♂️

Parques, calles y avenidas de la capital te invitan a descubrir la capital con un paseo en bici.

#MuéveteEnBici y celebra este día visitando monumentos, museos, parques o atractivos turísticos.

#TurismoCDMX #cdmx #diamundialdelabicicleta #bikelife  #bicycle","el  d amun dial de lab icicle ta se vive en la ciudad de mexico

parques calles y avenidas de la capital te invitan a descubrir la capital con un paseo en bici

mu ve teen bic i y celebra este dia visitando monumentos museos parques o atractivos turisticos

turismo c dmx c dmx dia mundi al de lab icicle ta bike life  bicycle",amun dial vivir ciudad mexico calle avenida invitar descubrir capital paseo bici teen bic celebrar visitar monumento museo parques atractivo turistico turismo dmx mundi lab icicle bike life bicycle,1,dmx,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,5,,,
"En el pintoresco barrio de San Ángel, la Biblioteca de las Revoluciones de México es un espacio de conocimiento y memoria. 📚

 También conocida como la Casa de los Dos Patios, alberga una gran colección de materiales históricos.

¡Ven a conocerla! 😉

#TurismoCDMX","en el pintoresco barrio de san angel la biblioteca de las revoluciones de mexico es un espacio de conocimiento y memoria 

 tambien conocida como la casa de los dos patios alberga una gran coleccion de materiales historicos

ven a conocerla 

turismo c dmx",pintoresco barrio san angel biblioteca revolución mexico espacio conocimiento memoria conocido casa patio albergar coleccion material historico ver conocer él turismo dmx,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"De paseo por el Centro Histórico, a unas calles del Zócalo de la Ciudad de México, la Plaza de Santo Domingo es uno de los sitios públicos de interés para quienes visitan el templo dominico, el Museo del Palacio de Medicina y otros puntos de magnífica #arquitectura. 

¿Ya la conoces? 

 #turismocdmx #cdmx #cdmx_oficial","de paseo por el centro historico a unas calles del zocalo de la ciudad de mexico la plaza de santo domingo es uno de los sitios publicos de interes para quienes visitan el templo dominico el museo del palacio de medicina y otros puntos de magnifica ar quite c tura 

ya la conoces 

 turismo c dmx c dmx c dmx oficial",paseo centro historico calle zocalo ciudad mexico plaza santo domingo sitio publico inter visitar templo dominico museo palacio medicina punto magnifico quitar tura conocer turismo dmx oficial,3,mexico,CDMX_CORPUS_LIMPIO,post,NEU,NEUTRAL,0,,,
"¡Conoce y disfruta un día de arte en el Museo Anahuacalli!

Este museo en Coyoacán te invita a descubrir una colección de arte prehispánico, muestras contemporáneas y bocetos de importantes obras del artista Diego Rivera.
 
La espectacular arquitectura del edificio y los 23 mosaicos en sus techos te fascinarán. 

¡Imperdible! 

#turismocdmx #museo #cdmx","conoce y disfruta un dia de arte en el museo anahuacalli

este museo en coyoacan te invita a descubrir una coleccion de arte prehispanico muestras contemporaneas y bocetos de importantes obras del artista diego rivera
 
la espectacular arquitectura del edificio y los 23 mosaicos en sus techos te fascinaran 

imperdible 

turismo c dmx museo c dmx",conocer disfrutar anahuacalli coyoacan invitar descubrir coleccion arte prehispanico muestra contemporanea boceto importante obra artista diego rivera espectacular arquitectura edificio mosaico techo fascinaran imperdible turismo museo dmx,3,mexico,CDMX_CORPUS_LIMPIO,post,POS,NEUTRAL,0,,,
