descripcion_procesada_es,fuente,cluster,sentimiento,frame,subtopico,prompt_procesado_es
reviviendo momentos acnicos 1998 valiente visitante capture igusben desde cima piraater kukulkaater chicha estas cautivadoras fotografaas capturan emocian estar cima piraater kukulkai privilegio 19nnico conecta grandeza maravilla reviviendo momentos unicos 1998 valiente visitante capturo increible imagen desde parte superior estas fotografias cautivadoras capturan emocion estar parte superior privilegio unico conecta grandeza maravilla lk pyramid special memories historic magic unique experience cultural tourism explore momentos in ol vid able s seven mara villa,post,8,POS,NEUTRAL,-1,
sabaas piraater kukulkaater chich puede escuchar asombroso sonido quetzal aplaudir gracias acastica acnica aplausos generan eco imita canto matico paumbero experiencia auditiva dejarai maravillado sabias puedes escuchar sorprendente sonido quetzal aplaudir gracias acustica unica aplausos genera eco imita cancion pajaro mitico experiencia auditiva dejara asombrado lk pyramid quetzal sound acoustic wonders cultural tourism explore unforgettable journey cultural amazing acoustics unique experience curiosities seven son ido quetzal mara villas cu stic as ar logico ar logia,post,8,POS,NEUTRAL,-1,
estaine localizada na penansula yucatai e uma das maiores e mais influye cidades impcrigo maia hoje monumento unesco e uma das noves maravilhas visit reels traveling,post,6,NEU,NEUTRAL,-1,
noche descubre prensionante piraater destino imperdible vacantes tus ven descubre impresionante destino visita obligada sus vacaciones seven pyramid lk history and must visit destination visit lk pyramid cultural tourism archaeology explore xico for forgettable journey rr uss arche ole che is visit mara villa archeology civilization,post,6,NEU,NEUTRAL,-1,
descubre maravilla arquitecte piraater kukulkaater tambie conocida ica icnica estructura sirvia sagrado ceremonias observaciones astronamicas dise alinea equinoccios mostrando avanzado conocimiento antiguos explora rica importancia cultural maravilla descubre maravilla arquitectonica tambien conocida estructura iconica sirvio sagrado ceremonias observaciones astronomicas diseno alinea equinoccios muestra conocimiento avanzado antiguos explore rica significado cultural maravilla lk pyramid pir amide lk patri mon io cultural ar logico,post,8,NEU,NEUTRAL,-1,
asa veaa piraater cuando podaa subir hasta lo maumbs alto afuiste afortunados experimento vista intensionante asi veia cuando permitia subir cima eras uno afortunados experimentar impresionante vista pir amide lk mara villas antigua s historic recuerdos devi je exp lora visit patri mon io cultural mara villa sar oli cas civil i zac ion antigua des cub re heritage visit cultural her it ag,post,6,NEU,NEUTRAL,-1,
chiche joya patrimonio mundial ubicada penansula yucataater meto muchas minas conjunto antiguas ruinas testimonio grandeza sofististacian civilizacian cuyo legado perdura hasta nuestros daas corazan chiche encuentra imponente piraater kukulkaater maravilla arquitectecinica domina paisaje cirundante estructura escalonada dedicada dios serpiente emplumada kukulkai sirve monumento sabiduraa astrone antiguos durante equinoccios primavera oto sombras proyectadas escalones piraine crean ilusian serpiente desciende manera majestuosa fenameno atrae visitante adodo ademaumbs pira mide kukulka chicha alberga prensionante varidad estructuras arquitectec nicas incluidos eltplo guerreros gran juego pelota observatorio cada testigo habilida habilida lahigidad creados llaza habilidos empleados cada constructores pero maumb todos grandeza feza fasica chich lugar cargado significado espiritual cultural cada piedra cadada alivia tallado cuenta mitos leyendas sacrificios ofrendas besqueda armonaa cosmos naturaleza hoy daa chich sigue sido destino peregrinacian aquellos buscan conectarse sus ruinas son registro tangible capacidad humana trascender testimonio inclusion transcurso siglos belleza misterio chich continua asombrando e inspirando todos tienen privilegio visitarisariasario lk cultura,post,8,NEU,RESPONSABILIDAD,-1,
descubre antiguos misterios observatorio fascinante estructura conocida caracol fue utilizada observaciones astronemicas sumjo rgege maravallate conocimiento celestial estata antigua civilizacie descubre antiguos misterios observatorio fascinante estructura conocida caracol espanol fue utilizada observaciones astronomicas sumergete maravillate conocimiento celestial antigua civilizacion observatory elo b serva to rio caracol astronomy civilization celestial knowledge ancient mysteries historical site explore history discover bucket list d destination awaits cultural h heritage car cha e won ers wonders visit,post,6,NEU,NEUTRAL,-1,
disfrutaste descendencia serpiente kukulkaater 21 marzo acomparte tus experimentias nosotros cuj ntanos camo celebre antiguo vpectaculo disfrutaste descenso 21 marzo ayer serpiente comparte tus experiencias nosotros haganos saber celebraste antiguo espectaculo lk serpent descent ele b ration ancient magical experience e qui cio primavera memories awaits visit e qui co cc he exp lor mex ime meme mourne tro v low hu thus hust rover his tr over his och is tor wonders memorable moments celebrate goals,post,6,NEU,NEUTRAL,-1,
primero merveille du mondea mi cual siguiente,post,2,POS,NEUTRAL,-1,
ya estaumb listo presenciar serpiente emplumada descendente piren kukulkaater vive magia equinoccio parte antiguo espectaculo estas listo presenciar serpiente emplumada descender experimenta magia equinoccio parte antiguo espectaculo reserve visita ahora lk pyramid f ough ed serpent ancient spectacle magical experience visit bucket list destination awaits,post,6,POS,NEUTRAL,-1,
captura momos inolvidables sumj antigua contempla prensionante belleza piraater kukulkaater pierdas oportunidad explorar ic nica maravilla capture momentos inolvidables sumergido antigua presencie impresionante belleza pierdas oportunidad explorar maravilla iconica lk pyramid ancient wonders heritage explore bucket list destination awaits discover history visit chc i he nitz,post,6,NEU,OPORTUNIDAD,-1,
descubre fascinante antiguo juego pelota impresionante corte testigo uno deportes importantes ceremoniales civilizacion imagine emocion energia resono dentro sus paredes mientras jugadores compitieron victoria honor ven sumergete descubre fascinante juego pelota antiguos lesion sencha testigo uno deportes maumbs ceremoniales civilizaciey imagina emocie energaa resonaban entre sus paredes mientras jugadores competaan victoria honor ven suma ballgame civilization ballcourt ceremonial sport history discover unique experience book now,post,8,POS,NEUTRAL,-1,
estas listo presenciar majestuoso descenso serpiente emplumada preparate experiencia unica llena misterio tradicion llegar increible arqueologico viaje comienza reserve aventura ahora dejate cautivarse magia estaumbi listo presenciar majestuoso descenso serpiente emplumada prepate vivir experimencia 19nica llena misterio tradicie llegar increable arqueolegico tu viaje comienza aeropuerto cancan reserva tu aventura ahora jate cautivar magia chiche itzai f ough ed serpent descent mystery tradition airport unique experience discover unforgettable journey book now magic history,post,8,POS,NEUTRAL,-1,
prepaaterado espectaculo celestial cuando kukulkaater serpiente emplumada haga descenso 21 marzo estaumbi listo ser testigo evento milenario preparese espectaculo celestial cuando serpiente emplumada hace descenso 21 marzo estas preparado presenciar evento atemporal visite nuestro web www chichenitza com lk f ough ed serpent march legend spec ta cula vent witness ancient traditions calendar spring cultural phenomenon bucket list,post,6,NEU,NEUTRAL,-1,
descubre antiguas historias grabadas piedra jeroglaficos cadada sambolo palabra cada tallado pegina descifrado cuentos descubra historias antiguas grabadas piedra jeroglificos cada simbolo palabra cada talla pagina ha descifrado cuentos visitenos www chichenitza com hier i glyphs ancient stories mysteries heritage,post,8,NEU,NEUTRAL,-1,
chiche pir amide zona ar logic,post,6,NEU,NEUTRAL,-1,
ciudad vasto universo conocimiento ancestral muchos maumbs heno innumerables piremides templos esperando ser descubiertos ti ha explorado ya todos secretos esconde arqueolegico ciudad inmenso universo conocimiento ancestral mucho alla innumerables piramides templos estan esperando ser descubiertos usted ya descubierto todos secretos ocultos arqueologico discover city hidden ruins archaeological living history ancient h heritage tourism worlds complete,post,8,NEU,NEUTRAL,-1,
itzaine solo maravilla arquitectonica tambie calendario piedra 365 escalones cadada uno representa daa descubre mes sececores antiguos nosotros solo maravilla arquitectonica calendario piedra 365 pasos cada uno representa dia ano descubre secretos nosotros lk calendar ancient living tourism pyramid history archaeology back time,post,6,NEU,NEUTRAL,-1,
retroceda tiempo donde grandeza espera todos niveles eleva cielo saliendo alla sol eterno viaja tiempo chiche donde grandeza espera cada escale piraater kukulkaater eava cielo unijo pasado presente bajo sol eternno yucataater living history lk magical discover ancient cultures empire journey to past essence sustainable tourism charm mexican history,post,6,NEU,NEUTRAL,-1,
medio columnas cuentan cuentos destaca testimonio ingenio pasee grupo mil columnas siente susurra sombras entre columnas cuentan historias chiche erige testimonio ingenio pasea grupo mil columnas siente susurrar entre sombras mil columns history ancient civilization explore cultural journey heritage architecture columns tourism heritages mayans discover and history uris pre hispanic spectacular must see destinations living traditions historical legacy ancient charm x plo ration,post,8,NEU,RESPONSABILIDAD,-1,
chiche despertando quien ha visto doux reil au lever du soleil sur chich itzai tu je allez si tu donnes le nom des dans leur ordre chronologique cryion sans considere sur google parte voyage despertar amanecer sobre chiche alguna vez descubierto muy bien si das nombres orden cronologico creacion sin mirar google vamos viaje ater valladolid visit destinations discover earth drone globe roam planet earth focus sky perfection inspiration reel,post,6,NEU,NEUTRAL,-1,
viajo tiempo traves cada detalle tallado leyenda esculpida descubra secretos han resistido prueba tiempo viaja tiempo cada detalle tallado cada leyenda esculpida piedras descubre sececores han sobrevivido milenios living history ancient heritage explore legacy ar ology archaeological site ancient civilizations cultural tour ics discover s cultural h heritage historical unforgettable journeys stories in stone spectacular,post,8,NEU,NEUTRAL,-1,
aqui serpiente columna simbolo divino grabado arquitectura itze icono sagrado encarna sabiduria espiritu tierra cielo lk mystic mystery contempla serpiente emplumada sambolo divino grabado arquitectura sagrado icono encarna sabiduraa esparitu tierra cielo cultura lk ma stica mister i ode,post,8,NEU,NEUTRAL,-1,
descubre lado romantico donde historias antiguas amor moderno entrelazan hace dia san valentin sea inolvidable corazon civilizacion romantic getaway valentines historic romance descubre lado romaater donde historias antiguas amor moderno entelazan haz tu daa san valentan inolvidable coraze civilizacian escap ad aroma ater daa des valent more romance his rico,post,8,NEU,NEUTRAL,-1,
retrocede tiempo iconico pieza central maravilate testimonio precision astronomica dominio ingenieria ancient wonders heritage retrocede tiempo icacico joya central maravallate ante testimonio precisian astronemica maestra ingenieraa mara villas antigua s pir amide deku kul kan,post,6,NEU,NEUTRAL,-1,
clave vida maravillosa nunca dejar deambular suzy kassem wonders,post,9,NEU,NEUTRAL,-1,
hermoso video sobre pyramid video d jim in i 3 pro d jim in i 3 drone fly drones tag ram drone desire drone pilot drone nerds drone fly dj i global drone globe drone dj i israel drone visit me co,post,6,NEU,NEUTRAL,-1,
chiche maravilla visita obligada entre nuevas desde 2007 2 5 millones visitantes anualmente llegar joya arqueologica brisa automovil autobus recorrido antiguas ruinas dividen viejos encontraras 26 sitios fascinantes incluidos iconica misterioso observatorio caracol boletos son usd 41 adultos usd 15 ciudadanos mexicanos gratis locales residentes mexicanos todos domingos traiga identificacion inmersion profunda cultura contrate guia guiarlo chiche abierto todos dias 8 00 5 00 aproveche oportunidad explorar pais historico si visita tulum playa cancun can visit it zai tl canadian l indo mar avil ma xicomaines visit guide valentines,post,8,NEU,OPORTUNIDAD,-1,
maravilla italia verlo,post,5,NEU,NEUTRAL,-1,
pie ante sintiendose pequenas pero infinitamente inspiradas cada antigua marvel susurra historias enciende imaginacion esto explorar nuestro maravillarse belleza logro humano atrapado momento felicidad pura vacaciones donde arena pega dedos pies sol besa tu piel tulum capturado mi corazon incluso poses hilarantemente incomodas esto abrazar cada instantanea tonta convertirlos recuerdos preciados gusta 1 10 adventures vaca vibes vibes me xico holiday jungle,post,5,NEU,NEUTRAL,-1,
chiche cultura destino aquella viajan intencie ademaumbs toda connotacian historico cultural tiene carga energe tica prensionante segunda maravilla visitada lista ph ay in ta it,post,8,NEU,NEUTRAL,-1,
lovers beat if ul mexique,post,6,NEU,NEUTRAL,-1,
lo scoprire consiste nel vedere ci che tutti hanno visto e nel pensare ci che nessuno ha pensato albert szent gyorgyi,post,5,NEU,NEUTRAL,-1,
gran campo pelota gran etapa antiguo juego pelota lugar donde deporte cumplia espiritualidad reflejando lucha eterna entre luz oscuridad gran juego pelota chiche itzai gran escenario antiguo juego pelota lugar donde deporte encontr espiritualidad reflejando eterna lucha entre luz oscuridad great ballcourt games great ballcourt ballgame ballcourt mesoamerican sports historical games pre columbian history ancient sports legendary great ballcourt games,post,8,NEU,NEUTRAL,-1,
mi piel morena tocada sol daa conexian energa tica ater mara villas,post,5,NEU,NEUTRAL,-1,
me xico mara villas ribera turismo cono ci endo fy f fy pa,post,1,NEU,NEUTRAL,-1,
mira templo kukulcaater i majestuosa encarna sabiduria celestial sirve guia terrenal cielos cada uno sus 365 pasos marcan dia ano contempla templo kukulcaater i majestuosa pirecemide carna sabiduraa celestial sirve guaa terrenal cielos pues cada uno sus 365 escalones marca daa aa calendar pyramid l can temple astrology 365 steps pyramid gyr amid ingenuity sacred site explore,post,6,NEU,NEUTRAL,-1,
plataforma venus adornada cabeza serpiente celebra planeta venus simbolo vital representa poder kukulcaater ciclo vida muerte platlaforma venus adornada cabeza serpiente celebra planeta venus sambolo vital representante poder kukulcaater ciclo vida muerte civilization venus platform ancient mysteries venus platform history serpent symbolism architecture,post,8,NEU,NEUTRAL,-1,
aqui grandeza testimonio atemporal destreza astronomica genio arquitectonico imperio afidate mientras resuena piedras silenciosas antigua listo caminar pasos civilizacion alguna vez miro estrellas contempla majestuosidad chiche donde cada piedra susurra historias antiguas civilizaciones icono arquitectura solo domina paisaje sino captura esencia imperio vez goberne sabiduraa precisian astronemica estaumbi listo ser testigo legado desafaa tiempo pyramid lk pir amide deku kul kan,post,6,NEU,NEUTRAL,-1,
ubicada contra cielo nublado crea contraste colores permite mejor apreciacion vistas ya tenido oportunidad visitar piraater kukulkaater contra cielo nublado crea contraste colores permite apreciar mejor vistas tiene tenido ya oportunidad visitar chiche,post,8,NEU,OPORTUNIDAD,-1,
mira iconica deja mistica cautiva tu alma descubren secretos antiguos mystic ruins discover history contempla ic ica pira kukulkai deja mistismo cautivo tu alma descubre secretos antiguos ruin as mi stic as,post,8,NEU,NEUTRAL,-1,
embarcate aventura atemporal itze donde cada piedra cuenta capture recuerdo seres queridos corazon men ce less memory makers emprende aventura atemporal donde cada piedra cuenta captura recuerdo tus seres queridos corazia aventura c read ores me mori as,post,8,NEU,RESPONSABILIDAD,-1,
aten pies donde espiritu todavia resuena visite entra trasciende tiempo legacy back in time permanece asombado pie histisia donde espjitu ajn resuena visita entrra trasciende tiempo lega do via jeen tiempo,post,8,NEU,NEUTRAL,-1,
historias ambientadas piedra cada glifo palabra narrativa pueblo cuya sabiduria resuena traves siglos glyphs timeless tales historias piedra cada glifo palabra narrativa pueblo cuya sabiduraa resuena travemp siglos s as cultura,post,8,NEU,NEUTRAL,-1,
alcanzar nubes templo kukulkaater erige imponente testimonio ingenieria astronomia sky high alcanza nubes templo kukulkaater erige testimonio imponente ingenieraa astronomaa pir amide deku kul kan,post,6,NEU,NEUTRAL,-1,
caminar entre ecos cada paso camino sagrado itze acerca antiguas leyendas ancient pathways lost civilizations camina entre ecos cada paso sagrado camino acerca mes antiguas leyendas t hill columns group grupo dela smil column as,post,8,NEU,NEUTRAL,-1,
